,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,precision,recall,f1,mean_confidence,median_confidence,min_confidence,low_confidence_samples,high_confidence_samples,10_Livres occasion_precision,10_Livres occasion_recall,10_Livres occasion_f1,10_Livres occasion_mean_confidence,10_Livres occasion_correct_high_confidence,40_Jeux consoles neuf_precision,40_Jeux consoles neuf_recall,40_Jeux consoles neuf_f1,40_Jeux consoles neuf_mean_confidence,40_Jeux consoles neuf_correct_high_confidence,50_Accessoires gaming_precision,50_Accessoires gaming_recall,50_Accessoires gaming_f1,50_Accessoires gaming_mean_confidence,50_Accessoires gaming_correct_high_confidence,60_Consoles de jeux_precision,60_Consoles de jeux_recall,60_Consoles de jeux_f1,60_Consoles de jeux_mean_confidence,60_Consoles de jeux_correct_high_confidence,1140_Objets pop culture_precision,1140_Objets pop culture_recall,1140_Objets pop culture_f1,1140_Objets pop culture_mean_confidence,1140_Objets pop culture_correct_high_confidence,1160_Cartes de jeux_precision,1160_Cartes de jeux_recall,1160_Cartes de jeux_f1,1160_Cartes de jeux_mean_confidence,1160_Cartes de jeux_correct_high_confidence,1180_Jeux de rôle et figurines_precision,1180_Jeux de rôle et figurines_recall,1180_Jeux de rôle et figurines_f1,1180_Jeux de rôle et figurines_mean_confidence,1180_Jeux de rôle et figurines_correct_high_confidence,1280_Jouets enfant_precision,1280_Jouets enfant_recall,1280_Jouets enfant_f1,1280_Jouets enfant_mean_confidence,1280_Jouets enfant_correct_high_confidence,1281_Jeux enfant_precision,1281_Jeux enfant_recall,1281_Jeux enfant_f1,1281_Jeux enfant_mean_confidence,1281_Jeux enfant_correct_high_confidence,1300_Modélisme_precision,1300_Modélisme_recall,1300_Modélisme_f1,1300_Modélisme_mean_confidence,1300_Modélisme_correct_high_confidence,1301_Lingerie enfant et jeu de bar_precision,1301_Lingerie enfant et jeu de bar_recall,1301_Lingerie enfant et jeu de bar_f1,1301_Lingerie enfant et jeu de bar_mean_confidence,1301_Lingerie enfant et jeu de bar_correct_high_confidence,1302_Jeux et accessoires de plein air_precision,1302_Jeux et accessoires de plein air_recall,1302_Jeux et accessoires de plein air_f1,1302_Jeux et accessoires de plein air_mean_confidence,1302_Jeux et accessoires de plein air_correct_high_confidence,1320_Puériculture_precision,1320_Puériculture_recall,1320_Puériculture_f1,1320_Puériculture_mean_confidence,1320_Puériculture_correct_high_confidence,1560_Mobilier_precision,1560_Mobilier_recall,1560_Mobilier_f1,1560_Mobilier_mean_confidence,1560_Mobilier_correct_high_confidence,1920_Linge de maison_precision,1920_Linge de maison_recall,1920_Linge de maison_f1,1920_Linge de maison_mean_confidence,1920_Linge de maison_correct_high_confidence,1940_Épicerie_precision,1940_Épicerie_recall,1940_Épicerie_f1,1940_Épicerie_mean_confidence,1940_Épicerie_correct_high_confidence,2060_Décoration_precision,2060_Décoration_recall,2060_Décoration_f1,2060_Décoration_mean_confidence,2060_Décoration_correct_high_confidence,2220_Animalerie_precision,2220_Animalerie_recall,2220_Animalerie_f1,2220_Animalerie_mean_confidence,2220_Animalerie_correct_high_confidence,2280_Journaux et revues occasion_precision,2280_Journaux et revues occasion_recall,2280_Journaux et revues occasion_f1,2280_Journaux et revues occasion_mean_confidence,2280_Journaux et revues occasion_correct_high_confidence,2403_Lots livres et magazines_precision,2403_Lots livres et magazines_recall,2403_Lots livres et magazines_f1,2403_Lots livres et magazines_mean_confidence,2403_Lots livres et magazines_correct_high_confidence,2462_Console et Jeux vidéos occasion_precision,2462_Console et Jeux vidéos occasion_recall,2462_Console et Jeux vidéos occasion_f1,2462_Console et Jeux vidéos occasion_mean_confidence,2462_Console et Jeux vidéos occasion_correct_high_confidence,2522_Fournitures papeterie_precision,2522_Fournitures papeterie_recall,2522_Fournitures papeterie_f1,2522_Fournitures papeterie_mean_confidence,2522_Fournitures papeterie_correct_high_confidence,2582_Mobilier et accessoires de jardin_precision,2582_Mobilier et accessoires de jardin_recall,2582_Mobilier et accessoires de jardin_f1,2582_Mobilier et accessoires de jardin_mean_confidence,2582_Mobilier et accessoires de jardin_correct_high_confidence,2583_Piscine et accessoires_precision,2583_Piscine et accessoires_recall,2583_Piscine et accessoires_f1,2583_Piscine et accessoires_mean_confidence,2583_Piscine et accessoires_correct_high_confidence,2585_Outillage de jardin_precision,2585_Outillage de jardin_recall,2585_Outillage de jardin_f1,2585_Outillage de jardin_mean_confidence,2585_Outillage de jardin_correct_high_confidence,2705_Livres neufs_precision,2705_Livres neufs_recall,2705_Livres neufs_f1,2705_Livres neufs_mean_confidence,2705_Livres neufs_correct_high_confidence,2905_Jeux PC en téléchargement_precision,2905_Jeux PC en téléchargement_recall,2905_Jeux PC en téléchargement_f1,2905_Jeux PC en téléchargement_mean_confidence,2905_Jeux PC en téléchargement_correct_high_confidence
xgboost,0.62,0.595,0.604,0.593,0.638,0.62,0.623,"[0.516 0.517 0.377 0.619 0.578 0.897 0.59  0.472 0.311 0.672 0.716 0.352
 0.464 0.675 0.81  0.535 0.531 0.624 0.75  0.687 0.564 0.709 0.402 0.882
 0.357 0.727 0.733]","[0.629 0.586 0.417 0.705 0.699 0.882 0.32  0.307 0.343 0.708 0.689 0.518
 0.529 0.518 0.811 0.72  0.531 0.412 0.674 0.614 0.542 0.667 0.498 0.717
 0.551 0.846 0.885]","[0.567 0.549 0.396 0.659 0.633 0.89  0.415 0.372 0.326 0.69  0.703 0.419
 0.495 0.586 0.81  0.614 0.531 0.496 0.71  0.648 0.553 0.688 0.445 0.791
 0.433 0.782 0.802]",0.672,0.696,0.084,5630,7170,0.516,0.629,0.567,0.523,0.49,0.517,0.586,0.549,0.466,0.49,0.377,0.417,0.396,0.349,0.421,0.619,0.705,0.659,0.625,0.778,0.578,0.699,0.633,0.58,0.622,0.897,0.882,0.89,0.815,0.852,0.59,0.32,0.415,0.27,0.388,0.472,0.307,0.372,0.263,0.355,0.311,0.343,0.326,0.259,0.225,0.672,0.708,0.69,0.578,0.563,0.716,0.689,0.703,0.589,0.658,0.352,0.518,0.419,0.382,0.333,0.464,0.529,0.495,0.422,0.466,0.675,0.518,0.586,0.464,0.637,0.81,0.811,0.81,0.757,0.848,0.535,0.72,0.614,0.63,0.776,0.531,0.531,0.531,0.383,0.325,0.624,0.412,0.496,0.331,0.485,0.75,0.674,0.71,0.596,0.617,0.687,0.614,0.648,0.514,0.522,0.564,0.542,0.553,0.485,0.669,0.709,0.667,0.688,0.573,0.641,0.402,0.498,0.445,0.421,0.512,0.882,0.717,0.791,0.626,0.708,0.357,0.551,0.433,0.427,0.462,0.727,0.846,0.782,0.777,0.794,0.733,0.885,0.802,0.817,0.838
neural_net,0.621,0.579,0.612,0.59,0.638,0.621,0.624,"[0.491 0.512 0.43  0.637 0.59  0.885 0.393 0.443 0.288 0.693 0.598 0.38
 0.483 0.648 0.815 0.518 0.604 0.494 0.732 0.709 0.597 0.683 0.379 0.903
 0.409 0.737 0.582]","[0.599 0.528 0.476 0.699 0.689 0.899 0.444 0.333 0.348 0.711 0.758 0.566
 0.554 0.525 0.808 0.72  0.434 0.503 0.723 0.572 0.553 0.685 0.517 0.724
 0.529 0.803 0.816]","[0.539 0.52  0.452 0.667 0.636 0.892 0.417 0.38  0.315 0.702 0.668 0.454
 0.516 0.58  0.812 0.603 0.506 0.498 0.727 0.633 0.574 0.684 0.438 0.803
 0.461 0.768 0.679]",0.619,0.641,0.06,6561,6351,0.491,0.599,0.539,0.45,0.365,0.512,0.528,0.52,0.359,0.291,0.43,0.476,0.452,0.352,0.412,0.637,0.699,0.667,0.582,0.655,0.59,0.689,0.636,0.547,0.56,0.885,0.899,0.892,0.801,0.819,0.393,0.444,0.417,0.361,0.529,0.443,0.333,0.38,0.252,0.16,0.288,0.348,0.315,0.245,0.215,0.693,0.711,0.702,0.505,0.344,0.598,0.758,0.668,0.647,0.762,0.38,0.566,0.454,0.44,0.525,0.483,0.554,0.516,0.417,0.462,0.648,0.525,0.58,0.412,0.497,0.815,0.808,0.812,0.699,0.789,0.518,0.72,0.603,0.596,0.698,0.604,0.434,0.506,0.304,0.313,0.494,0.503,0.498,0.376,0.494,0.732,0.723,0.727,0.575,0.529,0.709,0.572,0.633,0.435,0.405,0.597,0.553,0.574,0.437,0.58,0.683,0.685,0.684,0.568,0.689,0.379,0.517,0.438,0.4,0.489,0.903,0.724,0.803,0.604,0.691,0.409,0.529,0.461,0.392,0.47,0.737,0.803,0.768,0.643,0.607,0.582,0.816,0.679,0.651,0.585
